uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,Lat,Long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
1,80480000707,Columbine High School,804800,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19 AM,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,17,m,w,student,1,suicide,1783,16,112,42,12,,,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9mm carbine, 9×19mm Intratec TEC-9 semiautomatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,8,8059,21
3,1.30E+11,Heritage High School,1304410,Rockdale County,5/20/1999,1998-1999,1999,8:03 AM,Thursday,Conyers,Georgia,public,"1,369",0,6,6,indiscriminate,15,m,w,student,0,,,,,,,,1189,136,28,15,1,,,1,".22-caliber rifle, .357-caliber Magnum handgun",,33.626922,-84.04796,84,9,12,125,Rockdale County,13,13247,21
7,4.01E+11,Fort Gibson Middle School,4011970,Fort Gibson,12/6/1999,1999-2000,1999,7:45 AM,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13,m,ai,student,0,,,,,,,,239,3,12,0,153,,,0,Taurus 9mm handgun,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32
23,61623002026,Santana High School,616230,Grossmont Union High,3/5/2001,2000-2001,2001,9:20 AM,Monday,Santee,California,public,"1,894",2,13,15,indiscriminate,15,m,w,student,0,,,,,,,,1591,24,174,58,8,,,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,6,6073,21
25,61623002020,Granite Hills High School,616230,Grossmont Union High,3/22/2001,2000-2001,2001,1:00 PM,Thursday,El Cajon,California,public,"2,846",0,5,5,targeted and indiscriminate,18,m,,student,0,,,,,,,,2256,67,376,66,50,,,1,Mossberg 12-gauge pump-action shotgun,,32.800101,-116.916889,112.2,9,12,436,San Diego County,6,6073,21
41,2.20E+11,John McDonogh High School,2201170,Orleans Parish School Board,4/14/2003,2002-2003,2003,10:30 AM,Monday,New Orleans,Louisiana,public,"1,260",1,3,4,targeted,19,m,,none,0,,17,m,,none,,,10,1241,9,0,0,,,1,"AK-47-style semiautomatic rifle, semiautomatic handgun",,29.974421,-90.075733,63,8,12,843,Orleans Parish,22,22071,11
61,2.73E+11,Red Lake High School,2730510,Red Lake,3/21/2005,2004-2005,2005,2:49 PM,Monday,Red Lake,Minnesota,public,331,7,7,14,indiscriminate,16,m,ai,former student,1,suicide,,,,,,,0,0,0,0,331,,,1," Glock 23 .40-caliber handgun, 870 12-gauge pump-action shotgun",grandfather,47.8509,-95.0629,31.1,9,12,295,Beltrami County,27,27007,43
69,4.70E+11,Campbell County High School,4700420,Campbell County School Distrct,11/8/2005,2005-2006,2005,2:00 PM,Tuesday,Jacksboro,Tennessee,public,"1,440",1,2,3,targeted and indiscriminate,15,m,w,student,0,,,,,,,,"1,429",0,6,5,0,,,0,.22-caliber handgun,,36.35086,-84.14832,79.4,9,12,851,Campbell County,47,47013,32
84,,West Nickel Mines Amish School,,,10/2/2006,2006-2007,2006,11:07 AM,Monday,Nickel Mines,Pennsylvania,private,26,5,5,10,targeted,32,m,w,none; worked in community,1,suicide,,,,,,,26,0,0,0,0,,,0,"9mm handgun, shotgun, 30.06 rifle",purchased legally by shooter,39.960081,-76.084367,1,KG,8,,Lancaster County,42,42071,
91,4.11E+11,Springwater Trail High School,4106000,Gresham-Barlow Sd 10J,4/10/2007,2006-2007,2007,2:15 PM,Tuesday,Gresham,Oregon,public,163,0,10,10,indiscriminate,15,m,,student,0,,,,,,,,133,3,17,3,4,,,0,.270 Winchester rifle with scope,stepfather,45.48655,-122.40894,11.8,9,12,51,Multnomah County,41,41051,21
94,3.90E+11,SuccessTech Academy,3904378,Cleveland Municipal City,10/10/2007,2007-2008,2007,1:15 PM,Wednesday,Cleveland,Ohio,public,260,0,4,4,indiscriminate,14,m,,student,1,suicide,,,,,,,22,227,9,0,1,,,1,".22-caliber revolver, .38-caliber revolver",,41.50762,-81.6869,14,9,12,,Cuyahoga County,39,39035,11
123,3.17E+11,Millard South High School,3173740,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,"2,043",1,2,3,targeted and indiscriminate,17,m,b,student,1,suicide,,,,,,,"1,668",79,186,32,12,6,60,0,Smith & Wesson Glock .40-caliber handgun,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11
