case,gender,shootingType,race,city,state,date,year,injured,killed,casualties,locationType,weaponObtained,weaponType,weaponDetails,lat,long
Fort Lauderdale airport shooting,Male,Mass,Latino,Fort Lauderdale,Florida,1/6/2017,2017,6,5,11,Other,Unknown,Semiautomatic handgun,Walther 9mm semi-automatic pistol,26.072751,-80.143382
College of Iowa shooting,Male,Mass,Asian,Iowa City,Iowa,11/1/1991,1991,1,6,7,College,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,41.66069031,-91.53022003
Virginia Tech massacre,Male,Mass,Asian,Blacksburg,Virginia,4/16/2007,2007,23,33,56,College,"Purchased variously online and from Roanoke Firearms in Roanoke, Va.",Two semiautomatic handguns,"9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns",37.2295723,-80.41394043
Northern Illinois College shooting,Male,Mass,White,DeKalb,Illinois,2/14/2008,2008,21,6,27,College,"Online and gun retailers in Champaign, Ill. ","Three semiautomatic handguns, one shotgun","9mm Glock 19, Hi-Point CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12-gauge Remington Sportsman 48 sawed-off shotgun",41.92947388,-88.75036621
Oikos College killings,Male,Mass,Asian,Oakland,California,4/2/2012,2012,3,7,10,College,"Bullseye in Castro Valley, Calif.",One semiautomatic handgun,.45-caliber semiautomatic handgun,37.80438232,-122.270813
Isla Vista mass murder,Male,Mass,White,Santa Barbara,California,5/23/2014,2014,13,6,19,College,Unknown,Three semi-automatic handguns and two hunting knives,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives. ",34.436283,-119.8714406
Umpqua Community College shooting,Male,Mass,Other,Roseburg,,10/1/2015,2015,9,9,18,College,Unknown,"Five pistols, one rifle, five magazines of ammunition","9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",43.289538,-123.333193
Air Force base shooting,Male,Mass,White,Fairchild Air Force Base,Washington,6/20/1994,1994,23,5,28,Military,"Gun dealer in Spokane, Wash.",One rifle (assault),MAK-90 semiautomatic rifle,47.61864471,-117.6483612
Fort Hood massacre,Male,Mass,Other,Fort Hood,Texas,11/5/2009,2009,30,13,43,Military,"Guns Galore in Kileen, Texas",One semiautomatic handgun,FN Five-seven semiautomatic handgun,31.20112991,-97.7715683
Washington Navy Yard shooting,Male,Mass,Black,Washington,D.C.,9/16/2013,2013,8,12,20,Military,Sharpshooters Small Arms Range,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",Remington 870 Express 12-gauge shotgun; Beretta handgun,38.87498093,-76.99452972
Fort Hood shooting 2,Male ,Mass,Latino,Fort Hood,Texas,4/3/2014,2014,12,3,15,Military,"Local gun store in Killeen, Guns Galore",handgun,.45-caliber Smith & Wesson handgun,31.141716,-97.777559
Chattanooga military recruitment center,Male,Mass,Other,Chattanooga,Tennessee,7/16/2015,2015,2,5,7,Military,"On the internet, via Armslist.com",2 assault rifles; semiautomatic handgun,"AK-47, AR-15, and 30-round magazines; 9mm handgun",35.04715729,-85.31182098
Welding shop shooting,Male,Mass,White,Miami,Florida,8/20/1982,1982,3,8,11,Other,"Garcia Gun Center in Hialeah, Fla.",One shotgun,Mossberg 500 Persuader pump-action shotgun with pistol grip,25.79649162,-80.22668457
San Ysidro McDonald's massacre,Male,Mass,White,San Ysidro,California,7/18/1984,1984,19,22,41,Other,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun,32.55200195,-117.0430832
Dallas nightclub shooting,Male,Mass,White,Dallas,Texas,6/29/1984,1984,1,6,7,Other,"Hines Boulevard Pawn Shop in Dallas, Texas",One semiautomatic handgun,9mm Smith & Wesson 459 semiautomatic handgun,32.78010559,-96.80001068
Shopping centers spree killings,Male,Spree,White,Palm Bay,Florida,4/23/1987,1987,14,6,20,Other,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla.","One rifle, one revolver, one shotgun","Sturm, Ruger Mini-14 semiautomatic rifle; 20-gauge Winchester pump-action shotgun; .357 Ruger Blackhawk revolver",28.03318787,-80.64296722
GMAC massacre,Male,Mass,Black,Jacksonville,Florida,6/18/1990,1990,4,10,14,Other,Unknown,"One rifle, one revolver",.30-caliber Universal M1 carbine rifle; .38-caliber revolver,30.33218384,-81.65564728
Luby's massacre,Male,Mass,White,Killeen,Texas,10/16/1991,1991,20,24,44,Other,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",31.11711884,-97.72779846
Watkins Glen killings,Male,Mass,White,Watkins Glen,New York,10/15/1992,1992,0,5,5,Other,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,9mm Llama semiautomatic handgun,42.38105392,-76.87057495
Long Island Rail Road massacre,Male,Mass,Black,Garden City,New York,12/7/1993,1993,19,6,25,Other,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,40.72676849,-73.6342926
Luigi's shooting,Male,Mass,White,Fayetteville,North Carolina,8/6/1993,1993,8,4,12,Other,Unknown,"One rifle, two shotguns",.22-caliber rifle; two 12-gauge shotguns,35.05299377,-78.87870789
101 California Street shootings,Male,Mass,White,San Francisco,California,7/1/1993,1993,6,9,15,Other,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),"Two Intratec DC-9, .45-caliber Colt semiautomatic handguns",37.77896118,-122.4191971
Damageplan show shooting,Male,Mass,White,Columbus,Ohio,12/8/2004,2004,7,5,12,Other,Received as a gift from mother,One semiautomatic handgun,9mm Beretta 92FS semiautomatic handgun,39.9622612,-83.00070953
Capitol Hill massacre,Male,Mass,White,Seattle,Washington,3/25/2006,2006,2,7,9,Other,"Various sporting goods stores in Kalispell, Mont.","Two semiautomatic handguns, one rifle (assault), one shotgun",".40-caliber Ruger, one other semiautomatic handgun; Bushmaster XM15 E2S semiautomatic rifle; 12-gauge Winchester Defender pump-action shotgun with extended tube and pistol grip",47.6228981,-122.3164978
Westroads Mall shooting,Male,Mass,White,Omaha,Nebraska,12/5/2007,2007,4,9,13,Other,Stolen from grandfather,One rifle (assault),WASR-10 Century Arms semiautomatic rifle,41.25873184,-95.93787384
Crandon shooting,Male,Mass,White,Crandon,Wisconsin,10/7/2007,2007,1,6,7,Other,Issued by Forest County Sheriff's Department,One rifle (assault),AR-15 SWAT semiautomatic rifle,45.57190704,-88.90289307
Trolley Square shooting,Male,Mass,White,Salt Lake City,Utah,2/12/2007,2007,4,6,10,Other,"Purchased variously from Sportsman's Fast Cash in West Valley City, Utah and individuals ","One revolver, one shotgun",Mossberg Maverick 88 Field shotgun; .38-caliber Smith & Wesson M36 revolver,40.76064682,-111.8910904
Kirkwood City Council shooting,Male,Mass,Black,Kirkwood,Missouri,2/7/2008,2008,2,6,8,Other,Taken in burglary and from fallen police officer,"One semiautomatic handgun, one revolver",.40-caliber Smith & Wesson semiautomatic handgun; .44 Magnum Smith & Wesson Model 29 revolver,38.58338547,-90.40678406
Binghamton shootings,Male,Mass,Asian,Binghamton,New York,4/3/2009,2009,4,14,18,Other,"Gander Mountain in Johnson City, N.Y.",Two semiautomatic handguns,"9mm Beretta, .45-caliber Springfield semiautomatic handguns",42.09868622,-75.91797638
Coffee shop police killings,Male,Mass,Black,Parkland,Washington,11/29/2009,2009,1,4,5,Other,Stolen from an individual in Seattle.,One semiautomatic handgun,9mm Glock 17 semiautomatic handgun; .38-caliber Smith & Wesson revolver,47.15584564,-122.4370346
Carthage nursing home shooting,Male,Mass,White,Carthage,North Carolina,3/29/2009,2009,3,8,11,Other,Local sporting goods stores and individuals,"One revolver, one shotgun",Winchester 1300 pump-action shotgun; .357 Magnum revolver,35.34580231,-79.41705322
IHOP shooting,Male,Mass,Latino,Carson City,Nevada,9/6/2011,2011,7,5,12,Other,Purchased from an individual,"Two rifles (both assault), one revolver","AK-47 Norinco Arms variant, AK-47 Romarm Cugir variant automatic rifles; .38-caliber Colt revolver",39.16379929,-119.7674026
Seal Beach shooting,Male,Mass,White,Seal Beach,California,10/14/2011,2011,1,8,9,Other,Unknown,"Two semiautomatic handguns, one revolver",".45-caliber Heckler & Koch, 9mm Springfield semiautomatic handguns; .44 Magnum Smith & Wesson revolver",33.74117661,-118.1046371
Tucson shooting,Male,Mass,White,Tucson,Arizona,1/8/2011,2011,13,6,19,Other,"Sportsmen's Warehouse in Tucson, Ariz.",One semiautomatic handgun,9mm Glock 19 semiautomatic handgun,32.22174454,-110.9264755
Su Jung Health Sauna shooting,Male,Mass,Asian,Norcross,Georgia,2/22/2012,2012,0,5,5,Other,Unknown,One semiautomatic handgun,.45-caliber semiautomatic handgun,33.9412117,-84.21353149
Aurora theater shooting,Male,Mass,White,Aurora,Colorado,7/20/2012,2012,58,12,70,Other,"Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com","Two semiautomatic handguns, one rifle (assault), one shotgun",Two .40-caliber Glock semiautomatic handguns; .223-caliber Smith & Wesson M&P15 semiautomatic rifle; 12-gauge Remington 870 pump-action shotgun,39.70928192,-104.8234863
Seattle cafe shooting,Male,Spree,White,Seattle,Washington,5/20/2012,2012,1,6,7,Other,"Bull's Eye Shooter Supply in Tacoma, Wash.",Two semiautomatic handguns,Two .45-caliber semiautomatic handguns,47.60383224,-122.3300629
Pinewood Village Apartment shooting,Male,Mass,Black,Federal Way,Washington,4/21/2013,2013,0,5,5,Other,Unknown,"Semiautomatic handgun, shotgun",".40 caliber semi-automatic handgun, pistol grip shotgun",47.31296158,-122.3393631
Hialeah apartment shooting,Male,Mass,Latino,Hialeah,Florida,7/26/2013,2013,0,7,7,Other,Florida Gun Center,9mm semi-automatic handgun,Glock 17,25.86701012,-80.29146576
Santa Monica rampage,Male,Spree,White,Santa Monica,California,6/7/2013,2013,3,6,9,Other,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun",".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",34.0086174,-118.494751
Mohawk Valley shootings,Male,Spree,White,Herkimer County,New York,3/13/2013,2013,2,5,7,Other,"Frank's Guns in Marcy, NY",Shotgun,Unknown,43.04560089,-74.9848938
